categoria,nombre,url_logo
Noticias,TN Noticias,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/n/tn_noticias_ar.png
Noticias,La Nacion,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/a/la_nacion_ar.png
Noticias,C5N,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_c5n_2017_-_sobre_negro.png
Noticias,Argentina 12,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/r/ar12.jpg
Cultura y Documental,Discovery Turbo,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_turbo_1.png
Cultura y Documental,Discovery World HD,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_world_hd.png
Cultura y Documental,HISTORY 2,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/h/2/h2_rgb.png
Cultura y Documental,DISCOVERY WORLD,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_world.png
Cultura y Documental,DISCOVERY THEATER,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_theater.png
Cultura y Documental,DISCOVERY ID,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_id_fundo_escuro.png
Cultura y Documental,Canal (á),https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_alta_canal_a_alpha.png
Cultura y Documental,DISCOVERY CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_fundo_escuro.png
Cultura y Documental,HISTORY CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/h/i/history_logo_1.png
Cultura y Documental,NATIONAL GEOGRAPHIC,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/a/national_geo_fundo_escuro.png
Cultura y Documental,ANIMAL PLANET,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/n/animal_planet.png
